"id","Date","event","period","time","points","shot_x","shot_y"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-02","ShotMissed","1","705",,"0.3","10.400001"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-02","ShotScore","1","523","2","-0.6","17.7"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-02","ShotScore","1","428","2","-0.6","0.8"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-02","ShotScore","1","400","2","-0.6","-1"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-02","ShotMissed","1","56",,"0.6","3.3"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-02","ThreePtMissed","2","637",,"0.90000004","25.300001"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-02","ShotMissed","2","521",,"12.1","10.7"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-02","ShotMissed","2","480",,"0.3","0.3"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-02","ThreePtMissed","2","404",,"23","9.3"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-02","ThreePtScore","2","135","3","14.5","20.5"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-02","ShotMissed","2","45",,"-0.2","7.2000003"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-11","ShotScore","1","691","2","-11.400001","0.90000004"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-11","ThreePtScore","1","584","3","-2.7","27.300001"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-11","ThreePtScore","1","552","3","21.800001","11.1"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-11","ShotMissed","1","451",,"-2.9","9.900001"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-11","ShotScore","1","320","2","-8.8","17.2"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-11","ThreePtMissed","2","309",,"-9.5","24.800001"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-11","ShotScore","2","109","2","8.2","10"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-11","ShotScore","2","19","2","-1.8000001","1.9"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-11","ShotScore","3","351","2","0","0.2"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-11","ShotMissed","3","235",,"4.7000003","10.5"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-11","ShotMissed","3","116",,"-1.1","0.8"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ShotScore","1","704","2","-0.1","10"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ShotMissed","1","514",,"-0.7","3.1000001"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ShotScore","1","482","2","10.900001","12.1"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ShotScore","1","331","2","6.5","14.2"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ThreePtMissed","1","296",,"6.4","23.7"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ThreePtMissed","2","267",,"-19.6","22.7"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ShotScore","2","197","2","16.2","7.3"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ShotMissed","2","166",,"0.2","1.6"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ShotMissed","2","0",,"16.6","8.3"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ThreePtMissed","3","432",,"0.3","25.5"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ThreePtScore","3","408","3","20.6","15.6"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ThreePtScore","4","546","3","23","13.5"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ThreePtScore","4","509","3","9","23.1"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ThreePtScore","4","373","3","16","23.5"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ThreePtMissed","4","333",,"14.2","25.9"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ShotMissed","4","33",,"-8.6","1.8000001"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-17","ThreePtMissed","4","0",,"20.9","15.5"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotMissed","1","653",,"-1.8000001","17.1"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotMissed","1","434",,"-3.6000001","12.400001"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotScore","1","348","2","3.8","15.1"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotScore","1","257","2","-0.6","-0.4"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ThreePtMissed","1","203",,"17.9","17.4"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotMissed","2","387",,"-0.7","4"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotScore","2","268","2","5.3","0.1"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ThreePtScore","2","48","3","1.8000001","26.2"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotMissed","3","652",,"0","5"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ThreePtMissed","3","429",,"-22.2","5.5"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ThreePtScore","3","378","3","-8.1","27.1"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotMissed","3","320",,"0.90000004","5.6"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotMissed","3","245",,"-21.7","-1.9"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotMissed","3","117",,"7.6","4.2000003"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotMissed","3","26",,"10.6","10.8"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotMissed","4","671",,"-7.9","15.900001"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotMissed","4","609",,"18","1.5"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotMissed","4","593",,"-1.8000001","3.8"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotScore","4","587","2","0.2","1.9"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotMissed","4","331",,"5.2000003","2"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ThreePtMissed","4","246",,"-23","3.1000001"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ThreePtMissed","4","184",,"22.9","12.8"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotMissed","4","93",,"0.3","10.7"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ShotScore","4","65","2","0.90000004","2"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-18","ThreePtMissed","4","37",,"-3.6000001","28.2"
"ef41b97f-0af8-4c30-b8c8-f6ff58c6ba25","2017-10-20","ThreePtScore","1","669","3","10.7","23.9"
